Location,Meters,Price,Rooms,Bathrooms,Floors,Grill,Garage,Private Area,Garden,Pool,Antiquity,Electric Gate,House Type,Internet,Air Conditioner,Cable,Phone,Gas,Electric Plant,Solar Energy,Pais,Estado,Plus Code,Ciudad,Zona
"Barquisimeto, Lara, Venezuela, Barquisimeto, Barquisimeto, Lara",62.0,14000,2,1,2,,2,,,,6,,,,,,,,,,Venezuela,Lara,,Barquisimeto,
"2qp3+jjq, Cabudare 3023, Lara, Venezuela, El Recreo, Cabudare, Lara",150.0,26000,4,3,1,,5,,,,34,,,,,,,,,,Venezuela,Lara,2qp3+jjq,Cabudare,Cabudare 3023
"Urb La Morenera, Carrera 5, Con C. C, Cabudare 3023, Lara, Venezuela, Cabudare, Cabudare, Lara",178.0,20000,3,2,2,,5,,,,20,,,,,,,,,,Venezuela,Lara,,Cabudare,Urb La Morenera
"La Piedad Norte, Cabudare, Lara, Venezuela, La Piedad, Cabudare, Lara",268.0,19000,3,2,1,,4,,,,30,,,,,,,,,,Venezuela,Lara,,Cabudare,La Piedad Norte
"Barquisimeto, Lara, Venezuela, Barquisimeto, Barquisimeto, Lara",250.0,25000,3,2,1,,4,,,,34,,,,,,,,,,Venezuela,Lara,,Barquisimeto,
"2q7h+72x, C. 4, Cabudare 3023, Lara, Venezuela, La Piedad, Cabudare, Lara",73.0,20000,2,3,2,,2,,,,11,,,,,,,,,,Venezuela,Lara,2q7h+72x,Cabudare,C. 4
"2mmq+fgx, El Manzano 3001, Lara, Venezuela, Barquisimeto, Barquisimeto, Lara",62.0,14000,2,1,2,,2,,,,6,,,,,,,,,,Venezuela,Lara,2mmq+fgx,Barquisimeto,El Manzano 3001
"Cabudare, Lara, Venezuela, Cabudare, Cabudare, Lara",340.0,25000,4,4,1,,2,,,,20,,,,,,,,,,Venezuela,Lara,,Cabudare,
"2q5p+x5x, Cabudare 3023, Lara, Venezuela, Cabudare, Cabudare, Lara",188.0,25000,3,2,1,,4,,,,20,,,,,,,,,,Venezuela,Lara,2q5p+x5x,Cabudare,Cabudare 3023
"2qp4+g98, Cabudare 3023, Lara, Venezuela, El Recreo, Cabudare, Lara",150.0,26000,4,3,1,,5,,,,34,,,,,,,,,,Venezuela,Lara,2qp4+g98,Cabudare,Cabudare 3023
"2pqw+wrw, Cabudare 3023, Lara, Venezuela, Valle Hondo, Cabudare, Lara",376.0,17500,3,2,1,,4,,,,41,,,,,,,,,,Venezuela,Lara,2pqw+wrw,Cabudare,Cabudare 3023
"2pfx+9pv, Cabudare 3023, Lara, Venezuela, La Mora, Cabudare, Lara",12973.0,24000,4,3,1,,2,,,,15,,,,,,,,,,Venezuela,Lara,2pfx+9pv,Cabudare,Cabudare 3023
"7x5p+jh Rincón Hondo, Lara, Venezuela, Barquisimeto, Barquisimeto, Lara",62.0,23500,2,2,2,,2,,,,10,,,,,,,,,,Venezuela,Lara,7x5p+jh Rincón Hondo,Barquisimeto,
"2qf3+2fx, Cabudare 3023, Lara, Venezuela, Cabudare, Cabudare, Lara",340.0,25000,4,4,1,,4,,,,1,,,,,,,,,,Venezuela,Lara,2qf3+2fx,Cabudare,Cabudare 3023
"Cabudare, Lara, Venezuela, Cabudare, Cabudare, Lara",337.0,26000,4,3,1,,3,,,,40,,,,,,,,,,Venezuela,Lara,,Cabudare,
"3mc2+hfh, Calle 56, Barquisimeto 3001, Lara, Venezuela, Barquisimeto, Barquisimeto, Lara",110.0,12000,4,2,1,,2,,,,57,,,,,,,,,,Venezuela,Lara,3mc2+hfh,Barquisimeto,Calle 56
"3pj3+f56, Barquisimeto 3001, Lara, Venezuela, Centro, Barquisimeto, Lara",160.0,25000,2,2,1,,2,,,,63,,,,,,,,,,Venezuela,Lara,3pj3+f56,Centro,Barquisimeto 3001
"3pvf+q66, Barquisimeto 3001, Lara, Venezuela, Barquisimeto, Barquisimeto, Lara",200.0,15700,4,2,1,,13,,,,9,,,,,,,,,,Venezuela,Lara,3pvf+q66,Barquisimeto,Barquisimeto 3001
"Cabudare, Lara, Venezuela, Cabudare, Cabudare, Lara",400.0,12500,3,2,1,,8,,,,2,,,,,,,,,,Venezuela,Lara,,Cabudare,
"Cabudare, Lara, Venezuela, Cabudare, Cabudare, Lara",182.0,18000,4,3,1,,4,,,,12,,,,,,,,,,Venezuela,Lara,,Cabudare,
"Carrera 12, Barquisimeto, Lara, Venezuela, Barquisimeto, Barquisimeto, Lara",109.0,23000,6,4,2,,4,,,,8,,,,,,,,,,Venezuela,Lara,,Barquisimeto,Carrera 12
"Barquisimeto - Río Claro, El Manzano, Lara, Venezuela, El Manzano, Barquisimeto, Lara",3400.0,23000,3,3,1,,0,,,,10,,,,,,,,,,Venezuela,Lara,,Barquisimeto,Barquisimeto - Río Claro
"Barquisimeto, Lara, Venezuela, Centro, Barquisimeto, Lara",306.0,25000,2,2,1,,2,,,,63,,,,,,,,,,Venezuela,Lara,,Barquisimeto,
"Cabudare, Lara, Venezuela, Cabudare, Cabudare, Lara",300.0,12000,4,2,1,,8,,,,5,,,,,,,,,,Venezuela,Lara,,Cabudare,
"Urbanización Chucho Briceño, Cabudare, Lara, Venezuela, Cabudare, Cabudare, Lara",360.0,15000,4,3,1,,2,,,,40,,,,,,,,,,Venezuela,Lara,,Cabudare,Urbanización Chucho Briceño
"2ph4+mpc, 3001, Lara, Venezuela, Cabudare, Cabudare, Lara",510.0,14500,3,3,1,,8,,,,8,,,,,,,,,,Venezuela,Lara,2ph4+mpc,3001,
"Cubiro, Lara, Venezuela, Otros, Jiménez, Lara",673.92,26000,2,2,1,,6,,,,10,,,,,,,,,,Venezuela,Lara,,Cubiro,
"3jjx+3wf, Carrera 5, Barquisimeto 3001, Lara, Venezuela, Yacural, Barquisimeto, Lara",360.0,20000,4,3,1,,2,,,,9,,,,,,,,,,Venezuela,Lara,3jjx+3wf,Yacural,Carrera 5
"Cabudare, Lara, Venezuela, Ribereña, Cabudare, Lara",143.0,22500,5,4,2,,2,,,,32,,,,,,,,,,Venezuela,Lara,,Cabudare,
"Urbanización Valle Hondo, Cabudare, Lara, Venezuela, Cabudare, Cabudare, Lara",226.6,16800,3,2,1,,4,,,,27,,,,,,,,,,Venezuela,Lara,,Cabudare,Urbanización Valle Hondo
"Cabudare, Lara, Venezuela, Cabudare, Cabudare, Lara",339.0,23000,5,4,1,,5,,,,45,,,,,,,,,,Venezuela,Lara,,Cabudare,
"Barquisimeto, Lara, Venezuela, Barquisimeto, Barquisimeto, Lara",294.0,27000,4,3,1,,2,,,,63,,,,,,,,,,Venezuela,Lara,,Barquisimeto,
"La Piedad Norte, Cabudare, Lara, Venezuela, La Piedad, Cabudare, Lara",134.62,22000,3,3,2,,2,,,,3,,,,,,,,,,Venezuela,Lara,,Cabudare,La Piedad Norte
"Cabudare, Lara, Av Intercomunal Barquisimeto Acarigua La Teura, 24-21592, La Piedad, Cabudare, Lara",340.0,25000,4,4,1,,4,,,,20,,,,,,,,,,,Lara,,Cabudare,Av Intercomunal Barquisimeto Acarigua La Teura
"Cabudare, Lara, Venezuela, Cabudare, Cabudare, Lara",227.0,25000,4,4,2,,3,,,,34,,,,,,,,,,Venezuela,Lara,,Cabudare,
"Cabudare, Lara, Venezuela, Piedra Azul, Cabudare, Lara",112.0,14750,5,3,2,,2,,,,33,,,,,,,,,,Venezuela,Lara,,Cabudare,Piedra Azul
"Av. Ribereña, Cabudare, Lara, Venezuela, Ribereña, Cabudare, Lara",227.4,26500,4,4,2,,4,,,,20,,,,,,,,,,Venezuela,Lara,,Cabudare,Av. Ribereña
"Barquisimeto, Lara, Venezuela, La Mora, Cabudare, Lara",130.0,24000,4,3,2,,2,,,,15,,,,,,,,,,Venezuela,Lara,,Barquisimeto,La Mora
"2q95+p34 Urbanización Caña Dorada, La Mora, Cabudare 3023, Lara, Venezuela, Cabudare, Cabudare, Lara",112.5,21000,7,4,2,,2,,,,40,,,,,,,,,,Venezuela,Lara,2q95+p34 Urbanización Caña Dorada,Cabudare,La Mora
"Cabudare, Lara, Venezuela, Cabudare, Cabudare, Lara",227.0,22000,3,2,1,,4,,,,28,,,,,,,,,,Venezuela,Lara,,Cabudare,
"Granja San Miguel, Callejon San Judas, Cabudare 3023, Lara, Venezuela, La Mata, Cabudare, Lara",1407.0,17000,4,2,2,,2,,,,17,,,,,,,,,,Venezuela,Lara,,Cabudare,Granja San Miguel
"54xh+277, Agua Viva 3050, Lara, Venezuela, Agua Viva, Barquisimeto, Lara",350.0,23000,3,3,1,,2,,,,24,,,,,,,,,,Venezuela,Lara,54xh+277,Barquisimeto,Agua Viva 3050
"Barquisimeto Metropolitan Area, Venezuela, Barquisimeto, Barquisimeto, Lara",720.0,10000,3,2,1,,0,,,,15,,,,,,,,,,Venezuela,Lara,,Barquisimeto,Barquisimeto Metropolitan Area
"Cabudare, Lara, Agua Viva, 24-14311, Palavecino (Cabudare), Cabudare, Lara",563.0,17000,4,3,1,,4,,,,12,,,,,,,,,,,Lara,,Cabudare,Agua Viva
"Barquisimeto, Lara, El Cercado, 24-24490, Santa Rosa, Barquisimeto, Lara",720.0,10000,3,2,1,,0,,,,15,,,,,,,,,,,Lara,,Barquisimeto,El Cercado
"Barquisimeto, Lara, Venezuela, Barquisimeto, Barquisimeto, Lara",178.0,20000,3,2,1,,5,,,,36,,,,,,,,,,Venezuela,Lara,,Barquisimeto,
"Barquisimeto, Lara, Venezuela, Barquisimeto, Barquisimeto, Lara",227.0,25000,4,3,1,,4,,,,25,,,,,,,,,,Venezuela,Lara,,Barquisimeto,
"Cabudare, Lara, Agua Viva, 23-10669, Palavecino (Cabudare), Cabudare, Lara",405.0,13500,3,2,1,,5,,,,5,,,,,,,,,,,Lara,,Cabudare,Agua Viva
"Cabudare, Lara, Agua Viva, 23-18047, Palavecino (Cabudare), Cabudare, Lara",1200.0,17000,3,2,1,,8,,,,15,,,,,,,,,,,Lara,,Cabudare,Agua Viva
"Cabudare, Lara, Las Acacias, 23-12155, La Mata, Cabudare, Lara",374.0,16000,6,2,1,,6,,,,24,,,,,,,,,,,Lara,,Cabudare,Las Acacias
"Cabudare, Lara, Los Pinos, 24-14911, La Mata, Cabudare, Lara",383.3,12000,5,3,1,,4,,,,53,,,,,,,,,,,Lara,,Cabudare,Los Pinos
"Barquisimeto, Lara, Zona Norte Tamaca, 23-21491, Barquisimeto, Barquisimeto, Lara",153.0,16500,3,2,1,,4,,,,20,,,,,,,,,,,Lara,,Barquisimeto,Zona Norte Tamaca
